data;mês;dia_mes;dia_semana;setor;turno;carro;tempo_coleta;horas_coleta;tempo_trajeto;horas_trajeto;tempo_aterro;horas_aterro;km_coleta;km_trajeto;producao;producao_ton;viagens;ton/h;ton/km
11/04/2021;abr;11;dom;15;DIURNO;32048;06:22:00;6,37;01:21:00;1,35;00:21:00;0,35;38;20;15.340;15,34;2;2,409;0,404
11/04/2021;abr;11;dom;17;DIURNO;33049;04:55:00;4,92;02:10:00;2,17;00:30:00;0,5;51;11;17.130;17,13;2;3,484;0,336
11/04/2021;abr;11;dom;19;DIURNO;33024;07:18:00;7,3;00:33:00;0,55;00:12:00;0,2;50;19;12.350;12,35;1;1,692;0,247
11/04/2021;abr;11;dom;1;NOTURNO;32048;05:53:00;5,88;00:51:00;0,85;00:18:00;0,3;35;30;13.470;13,47;2;2,29;0,385
11/04/2021;abr;11;dom;2;NOTURNO;33024;05:02:00;5,03;00:35:00;0,58;00:06:00;0,1;41;7;9.870;9,87;1;1,961;0,241
11/04/2021;abr;11;dom;6;NOTURNO;33048;06:02:00;6,03;00:37:00;0,62;00:13:00;0,22;44;17;11.520;11,52;1;1,909;0,262
11/04/2021;abr;11;dom;11;NOTURNO;32051;05:34:00;5,57;00:40:00;0,67;00:21:00;0,35;38;21;11.480;11,48;2;2,062;0,302
11/04/2021;abr;11;dom;21;NOTURNO;33049;05:48:00;5,8;00:36:00;0,6;00:08:00;0,13;45;15;8.770;8,77;1;1,512;0,195
13/04/2021;abr;13;ter;9;DIURNO;33048;07:10:00;7,17;01:36:00;1,6;00:14:00;0,23;33;40;20.930;20,93;2;2,92;0,634
13/04/2021;abr;13;ter;13;DIURNO;3049;06:32:00;6,53;01:47:00;1,78;00:31:00;0,52;38;58;16.370;16,37;2;2,506;0,431
13/04/2021;abr;13;ter;13;DIURNO;32051;05:08:00;5,13;00:32:00;0,53;00:10:00;0,17;24;10;3.230;3,23;1;0,629;0,135
13/04/2021;abr;13;ter;14;DIURNO;32048;06:10:00;6,17;03:45:00;3,75;00:30:00;0,5;41;71;15.380;15,38;2;2,494;0,375
13/04/2021;abr;13;ter;16;DIURNO;31912;08:07:00;8,12;01:57:00;1,95;00:25:00;0,42;33;55;19.720;19,72;2;2,43;0,598
13/04/2021;abr;13;ter;18;DIURNO;33024;06:24:00;6,4;01:03:00;1,05;00:21:00;0,35;65;43;12.240;12,24;1;1,913;0,188
13/04/2021;abr;13;ter;20;DIURNO;33049;06:30:00;6,5;01:50:00;1,83;00:25:00;0,42;42;51;16.980;16,98;2;2,612;0,404
13/04/2021;abr;13;ter;3;NOTURNO;31912;03:29:00;3,48;00:28:00;0,47;00:13:00;0,22;21;15;10.270;10,27;1;2,948;0,489
13/04/2021;abr;13;ter;3;NOTURNO;32048;02:51:00;2,85;00:28:00;0,47;00:11:00;0,18;12;21;7.970;7,97;1;2,796;0,664
13/04/2021;abr;13;ter;4;NOTURNO;33024;05:16:00;5,27;01:13:00;1,22;00:41:00;0,68;47;31;14.180;14,18;2;2,692;0,302
13/04/2021;abr;13;ter;5;NOTURNO;33048;05:48:00;5,8;01:16:00;1,27;00:23:00;0,38;36;37;15.050;15,05;2;2,595;0,418
13/04/2021;abr;13;ter;7;NOTURNO;32051;07:07:00;7,12;01:33:00;1,55;00:23:00;0,38;35;43;16.640;16,64;2;2,338;0,475
13/04/2021;abr;13;ter;21;NOTURNO;33049;07:50:00;7,83;01:10:00;1,17;00:15:00;0,25;47;28;18.060;18,06;2;2,306;0,384
14/04/2021;abr;14;qua;8;DIURNO;31912;08:35:00;8,58;01:24:00;1,4;00:26:00;0,43;38;43;18.480;18,48;2;2,153;0,486
14/04/2021;abr;14;qua;10;DIURNO;33048;07:36:00;7,6;00:49:00;0,82;00:40:00;0,67;37;28;21.220;21,22;2;2,792;0,574
14/04/2021;abr;14;qua;12;DIURNO;32051;07:36:00;7,6;03:02:00;3,03;00:41:00;0,68;35;83;21.520;21,52;3;2,832;0,615
14/04/2021;abr;14;qua;15;DIURNO;32048;06:52:00;6,87;01:48:00;1,8;00:40:00;0,67;44;28;21.700;21,7;3;3,16;0,493
14/04/2021;abr;14;qua;17;DIURNO;33049;10:00:00;10;00:45:00;0,75;00:40:00;0,67;57;18;26.770;26,77;3;2,677;0,47
14/04/2021;abr;14;qua;19;DIURNO;33024;07:52:00;7,87;01:06:00;1,1;00:21:00;0,35;49;36;17.650;17,65;2;2,244;0,36
14/04/2021;abr;14;qua;1;NOTURNO;32048;06:33:00;6,55;01:30:00;1,5;00:26:00;0,43;36;48;18.160;18,16;3;2,773;0,504
14/04/2021;abr;14;qua;2;NOTURNO;33024;06:40:00;6,67;01:29:00;1,48;00:16:00;0,27;40;32;15.820;15,82;2;2,373;0,396
14/04/2021;abr;14;qua;6;NOTURNO;33048;06:20:00;6,33;01:12:00;1,2;00:12:00;0,2;41;37;15.740;15,74;2;2,485;0,384
14/04/2021;abr;14;qua;11;NOTURNO;32050;06:42:00;6,7;00:42:00;0,7;00:17:00;0,28;38;22;17.590;17,59;2;2,625;0,463
14/04/2021;abr;14;qua;21;NOTURNO;31912;06:21:00;6,35;00:40:00;0,67;00:13:00;0,22;43;16;9.880;9,88;1;1,556;0,23
15/04/2021;abr;15;qui;9;DIURNO;33048;04:20:00;4,33;00:25:00;0,42;00:10:00;0,17;32;18;11.330;11,33;1;2,615;0,354
15/04/2021;abr;15;qui;13;DIURNO;32051;05:25:00;5,42;01:17:00;1,28;00:13:00;0,22;40;15;9.880;9,88;1;1,824;0,247
15/04/2021;abr;15;qui;14;DIURNO;32048;04:30:00;4,5;01:05:00;1,08;00:15:00;0,25;37;40;8.500;8,5;1;1,889;0,23
15/04/2021;abr;15;qui;16;DIURNO;31912;05:20:00;5,33;00:57:00;0,95;00:19:00;0,32;32;25;11.130;11,13;1;2,087;0,348
15/04/2021;abr;15;qui;18;DIURNO;33024;05:58:00;5,97;01:03:00;1,05;00:29:00;0,48;63;43;8.920;8,92;1;1,495;0,142
15/04/2021;abr;15;qui;18;DIURNO;33048;02:00:00;2;01:20:00;1,33;00:10:00;0,17;14;34;3.710;3,71;1;1,855;0,265
15/04/2021;abr;15;qui;20;DIURNO;33049;03:40:00;3,67;01:10:00;1,17;00:10:00;0,17;24;35;7.650;7,65;1;2,086;0,319
15/04/2021;abr;15;qui;20;DIURNO;32051;03:30:00;3,5;01:40:00;1,67;00:15:00;0,25;15;29;4.650;4,65;1;1,329;0,31
15/04/2021;abr;15;qui;3;NOTURNO;32048;06:13:00;6,22;01:05:00;1,08;00:19:00;0,32;44;23;14.270;14,27;2;2,295;0,324
15/04/2021;abr;15;qui;4;NOTURNO;33024;05:59:00;5,98;00:40:00;0,67;00:11:00;0,18;48;16;9.690;9,69;1;1,619;0,202
15/04/2021;abr;15;qui;5;NOTURNO;33048;05:20:00;5,33;00:36:00;0,6;00:11:00;0,18;32;23;10.490;10,49;1;1,967;0,328
15/04/2021;abr;15;qui;7;NOTURNO;31912;06:28:00;6,47;00:44:00;0,73;00:13:00;0,22;36;19;11.860;11,86;1;1,834;0,329
15/04/2021;abr;15;qui;21;NOTURNO;33049;06:06:00;6,1;00:30:00;0,5;00:11:00;0,18;47;13;9.780;9,78;1;1,603;0,208
16/04/2021;abr;16;sex;8;DIURNO;31912;05:45:00;5,75;00:41:00;0,68;00:21:00;0,35;34;22;11.540;11,54;1;2,007;0,339
16/04/2021;abr;16;sex;10;DIURNO;33048;05:00:00;5;00:23:00;0,38;00:12:00;0,2;37;16;11.410;11,41;1;2,282;0,308
16/04/2021;abr;16;sex;12;DIURNO;32050;05:04:00;5,07;01:46:00;1,77;00:20:00;0,33;33;53;12.600;12,6;2;2,487;0,382
16/04/2021;abr;16;sex;15;DIURNO;32048;04:45:00;4,75;00:35:00;0,58;00:10:00;0,17;29;11;8.540;8,54;1;1,798;0,294
16/04/2021;abr;16;sex;15;DIURNO;32051;02:25:00;2,42;00:35:00;0,58;00:10:00;0,17;13;7;4.450;4,45;1;1,841;0,342
